Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name,Year
2017-10-06,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,64.0,Spares Hub,2017
2017-10-06,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,80.0,Niki.Ai,2017
2017-10-06,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,16.0,Fitpass,2017
2017-10-09,E-commerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,21.6,Urbanclap,2017
2017-10-09,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding Round,2.69,4Tigo,2017
2017-10-10,Technology,AI-powered deep learning solutions,Gurgaon,Multipoint Capital,Private Equity,11.2,Balance App,2017
2017-10-10,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,36.0,Yepme,2017
2017-10-11,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,8.8,Curie Labs,2017
2017-10-12,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding Round,1.88,Vidooly,2017
2017-10-13,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,616.0,Shopclues,2017
2017-10-13,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding Round,2.0,Fourth Ambit,2017
2017-10-13,E-commerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,16.0,Legal Raasta,2017
2017-10-16,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,73.6,Aequm,2017
2017-10-18,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,56.0,Telr,2017
2017-10-18,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding Round,4.0,Ezcred,2017
2017-10-23,Food & Beverages,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,48.0,Zipgrid,2017
2017-10-23,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,24.8,Box8,2017
2017-10-23,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding Round,0.94,Gennext Students,2017
2017-10-24,Food & Beverages,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding Round,4.0,Supr Daily,2017
2017-10-24,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,24.0,Sastasundar,2017
2017-10-24,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding Round,5.78,Eruditus,2017
2017-10-25,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding Round,4.4,Perfios,2017
2017-10-26,E-commerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,40.0,Whatfix,2017
2017-10-28,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding Round,0.96,Konsult App,2017
2017-10-30,Food & Beverages,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,16.0,Mech Mocha,2017
2017-10-31,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,256.0,Omnify,2017
2017-09-01,E-commerce,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,8.0,Mergerware,2017
2017-09-01,Consumer Internet,Online Photography platform,Mumbai,InfoEdge,Private Equity,10.4,Emiza,2017
2017-09-04,Technology,Application Performance Acceleration,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,44.8,Hackerearth,2017
2017-09-05,Technology,EduTech Platform,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding Round,4.8,Weareholidays,2017
2017-09-06,Consumer Internet,Online Lending Platform,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,86.0,Myly,2017
2017-09-06,Consumer Internet,Online travel booking platform,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,80.0,Credihealth,2017
2017-09-06,Health Care,Medical Diagnostic Solutions,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,48.0,Snackible,2017
2017-09-06,E-commerce,Buying Club for Small Businesses,Gurgaon,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani",Private Equity,208.0,Be U Salons,2017
2017-09-07,Consumer Internet,Online Credit scoring platform,Mumbai,Matrix Partners,Private Equity,40.0,Innefu Security Consulting,2017
2017-09-07,Consumer Internet,Branded budget hotels marketplace,Gurgaon,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,2000.0,Absentia Vr,2017
2017-09-07,Consumer Internet,Online Unsecured Lending platform,Pune,IFMR Capital,Debt Funding,6.24,Iotrek,2017
2017-09-07,E-commerce,Ecommerce portal for senior citizens,Pune,RPG Enterprises,Private Equity,8.0,Faasos,2017
2017-09-11,Logistics,Logistics Solutions provider,New Delhi,Warburg Pincus,Private Equity,240.0,Flytxt,2017
2017-09-11,Consumer Internet,Healthcare Services Aggregator,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,49.6,Howdy Ventures,2017
2017-09-12,Technology,Imaging Technology for Armed Forces,Bangalore,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,136.0,Sepalika,2017
2017-09-12,Consumer Internet,Smart Parking Enabler,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,24.0,Belong,2017
2017-09-13,Technology,Telecom & IoT platform,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding Round,6.24,Tydy,2017
2017-09-14,Consumer Portal,Bike Rental Platform,Bangalore,Y Combinator,Seed Funding Round,0.96,Igenetics,2017
2017-09-18,E-commerce,Pregnancy & Baby Care product etailer,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,8.0,Summerlabel,2017
2017-09-19,Technology,Integrated receivables software solutions,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,400.0,Agrostar,2017
2017-09-21,Finance,financial services firm,Gaya,Incofin Investment Management,Private Equity,48.0,Data Resolve,2017
2017-09-21,E-commerce,Home Furnishing & Building material marketplace,Bangalore,LG Chandrasekhar,Private Equity,8.0,Pipecandy,2017
2017-09-22,E-commerce,Online Travel Agency,Gurgaon,InnoVen Capital India,Debt Funding,123.2,Appbrowzer,2017
2017-09-25,Technology,SME Marketing Management Solution,Bangalore,"Vertex Ventures, Prime Venture Partners",Private Equity,48.0,Lavelle Networks,2017
2017-09-25,Consumer Internet,Sports & Sport related equipment portal,Mumbai,Mehul Shah,Seed Funding Round,1.2,Fitso,2017
2017-09-27,Technology,Geospatial Technology-based SaaS solutions,Mumbai,"IL&FS Investment Managers, Omidyar Network",Private Equity,12.8,Ixigo,2017
2017-09-27,Consumer Internet,Car repair and Servicing Platform,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,8.0,Bizom,2017
2017-09-28,Technology,Defense Tech & Aerospace startup,Bangalore,Keiretsu Forum,Private Equity,8.0,Perpule,2017
2017-08-01,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,10.4,Oriano Solar,2017
2017-08-02,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding Round,4.0,Wandertrails,2017
2017-08-02,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding Round,6.8,Zenatix,2017
2017-08-03,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd,Seed Funding Round,2.4,Cartrade,2017
2017-08-08,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed Funding Round,1.94,Fyle,2017
2017-08-08,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding Round,1.76,Gobumpr,2017
2017-08-09,Logistics,Mobile based Logistics Service,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding Round,24.8,Ccavenue,2017
2017-08-09,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed Funding Round,6.26,Airzaar,2017
2017-08-11,E-commerce,Online Marketplace,Bangalore,Softbank,Private Equity,20000.0,Imaginate,2017
2017-08-14,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding Round,2.5,Johari Shop,2017
2017-08-15,Consumer Internet,Unsecured Small Business Loans,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding Round,3.08,Neostencil,2017
2017-08-20,E-commerce,Building material online store,New Delhi,Abhinav Gupta,Seed Funding Round,1.5,Tempogo,2017
2017-08-21,Consumer Internet,E-Tech platform,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding Round,5.87,Freecharge,2017
2017-08-23,Technology,Cloud data protection and management solutions,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,640.0,Loan Frame,2017
2017-08-23,E-commerce,Men Grooming product etailer,New Delhi,Fireside Ventures,Private Equity,18.4,Hansel.Io,2017
2017-08-23,Technology,Software & Mobile app development platform,Bangalore,Haresh Chawla,Seed Funding Round,4.0,Roambee,2017
2017-08-24,Technology,mPOS solutions provider,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures",Private Equity,128.0,Iservice,2017
2017-08-25,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding Round,6.0,Zolostays,2017
2017-08-25,Consumer Internet,Online Doctor Discovery Platform,Bangalore,"PBS Srinivas, Vinod Martin",Seed Funding Round,1.0,Hipcouch,2017
2017-08-28,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro",Private Equity,56.0,Curiositi,2017
2017-08-30,Consumer Internet,Budget Hotel Aggregator platform,Bangalore,Ward Ferry Management and Karst Peak Capital,Private Equity,272.0,Hoopy,2017
2017-07-01,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding Round,8.0,Vahdam Teas,2017
2017-07-03,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,20.8,Weddingz.In,2017
2017-07-05,E-commerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,68.0,Cuemath,2017
2017-07-05,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,8.0,Nowfloats,2017
2017-07-07,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding Round,8.0,Instasafe,2017
2017-07-10,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co,Private Equity,24.0,99Perhour,2017
2017-07-11,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,18.0,Intuit Things,2017
2017-07-11,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding Round,3.71,Cloudrino,2017
2017-07-12,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,148.0,Maptags,2017
2017-07-14,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding Round,4.32,Slide App,2017
2017-07-17,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,32.0,Urdoorstep,2017
2017-07-19,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,80.0,Stalk Buy Love,2017
2017-07-19,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding Round,4.8,Neuroequilibrium,2017
2017-07-20,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners",Seed Funding Round,5.6,Xseed Education,2017
2017-07-21,E-commerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding Round,1.6,Rupaiya Exchange,2017
2017-07-25,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,280.0,Trading Bells,2017
2017-07-26,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,200.0,Ideaforge,2017
2017-07-26,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding Round,1.6,Amagi Media Labs,2017
2017-07-28,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,10.0,Tripshelf,2017
2017-06-02,E-commerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Seed Funding Round,1.87,Vegetall,2017
2017-06-05,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,400.0,Mindler,2017
2017-06-06,E-commerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,8.0,Enkast,2017
2017-06-06,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,9.6,Pickmylaundry,2017
2017-06-06,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding Round,8.0,Freshdesk,2017
2017-06-07,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding Round,4.8,Connect India,2017
2017-06-08,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding Round,1.86,Corseco,2017
2017-06-08,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,12.0,Medzin,2017
2017-06-08,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,12.0,Justride,2017
2017-06-08,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding Round,2.8,Iim Jobs,2017
2017-06-09,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding Round,2.4,Golflan,2017
2017-06-09,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding Round,2.0,Active.Ai,2017
2017-06-12,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,4.0,Stasis Labs,2017
2017-06-12,Health Care,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,8.0,Koovs,2017
2017-06-12,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding Round,6.21,Pictor Imaging,2017
2017-06-13,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,44.0,Numberz.In,2017
2017-06-14,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,400.0,Awesummly,2017
2017-06-14,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding Round,4.0,Noddapp,2017
2017-06-15,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,98.4,Knowlarity,2017
2017-06-16,E-commerce,Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,8.0,Infisecure,2017
2017-06-16,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding Round,16.0,Wholesalebox,2017
2017-06-19,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,100.0,Entropika,2017
2017-06-19,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,32.0,Marianaiq,2017
2017-06-20,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding Round,2.4,Chai Thela,2017
2017-06-20,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,41.6,Interviewpad,2017
2017-06-21,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,36.0,Pulse,2017
2017-06-21,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding Round,1.72,Carcrew.In,2017
2017-06-22,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,36.8,Giftxoxo,2017
2017-06-22,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding Round,4.0,Netlinx,2017
2017-06-23,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,32.0,Remitr,2017
2017-06-23,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding Round,8.0,Innerchef,2017
2017-06-26,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,40.0,Appsdaily,2017
2017-06-26,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,32.0,Realbox,2017
2017-06-27,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,40.0,Gozefo,2017
2017-06-27,E-commerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding Round,2.49,Kooh Sports,2017
2017-06-28,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,16.0,Yupp Tv,2017
2017-06-29,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,8.0,Deyor Camps,2017
2017-06-30,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,40.0,Robovac,2017
2017-06-30,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,168.0,Newspatrolling,2017
2017-05-01,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,589.6,Postman,2017
2017-05-02,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding Round,12.0,Dailyhunt,2017
2017-05-02,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani",Private Equity,80.0,Tazzo Bikes,2017
2017-05-02,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding Round,3.12,Yumigo,2017
2017-05-05,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding Round,1.86,Soopermo,2017
2017-05-08,E-commerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd",Private Equity,5.6,Orangetwig,2017
2017-05-08,Food & Beverages,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding Round,8.0,Velmenni,2017
2017-05-09,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding Round,0.4,Impact Analytics,2017
2017-05-10,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,11.2,Simplilearn,2017
2017-05-10,E-commerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,61.6,Prozo,2017
2017-05-10,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding Round,4.8,Toprankers,2017
2017-05-12,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,40.0,Inuxu,2017
2017-05-12,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,3.73,Nearbuy,2017
2017-05-12,E-commerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding Round,8.0,Flocareer,2017
2017-05-15,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding Round,4.0,Infeedo,2017
2017-05-16,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,24.0,Doctorinsta,2017
2017-05-17,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding Round,2.0,Justlikenew,2017
2017-05-18,E-commerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding Round,8.0,Equickies,2017
2017-05-19,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding Round,8.0,Hashtaag,2017
2017-05-22,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,240.0,Beardo,2017
2017-05-22,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding Round,4.0,Instacar,2017
2017-05-23,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,8.0,Zeta,2017
2017-05-24,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding Round,4.64,Healthkart,2017
2017-05-29,E-commerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,28.0,Flickbay,2017
2017-05-30,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,12.0,Wefly Indoor Skydiving,2017
2017-05-31,E-commerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,40.0,Travelyaari,2017
2017-04-03,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,65.6,Innovaccer,2017
2017-04-03,Health Care,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,320.0,Hike,2017
2017-04-04,Food & Beverages,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,21.6,Makkajai,2017
2017-04-04,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,48.8,Maalgaadi,2017
2017-04-04,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,29.52,Appknox,2017
2017-04-04,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,56.0,Quikr,2017
2017-04-04,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding Round,4.0,Digio,2017
2017-04-04,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding Round,4.0,Puro Wellness,2017
2017-04-06,Health Care,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,168.0,Advenio,2017
2017-04-06,Consumer Internet,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,40.0,Guarented,2017
2017-04-08,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,36.8,Mobikwik,2017
2017-04-10,Technology,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding Round,1.2,Mydidi,2017
2017-04-11,Technology,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed Funding Round,0.8,Livspace,2017
2017-04-12,E-commerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,32.0,Daybox,2017
2017-04-12,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,36.0,Flyrobe,2017
2017-04-12,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,36.0,Venture Catalysts,2017
2017-04-12,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,16.8,Playment,2017
2017-04-13,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,Urrshila Kerkar,Private Equity,61.6,Seedoc,2017
2017-04-15,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding Round,2.48,Happilyunmarried,2017
2017-04-17,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,12.0,Donxe2X80X99T Scratch Your Head,2017
2017-04-17,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding Round,1.4,Adytude,2017
2017-04-17,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding Round,4.96,Trak N Tell,2017
2017-04-18,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,16.0,Yaap,2017
2017-04-18,Technology,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,4.8,Twigly,2017
2017-04-18,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,10.0,Rentmojo,2017
2017-04-19,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding Round,1.24,Augrav,2017
2017-04-21,Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding Round,8.0,Bankerbay,2017
2017-04-24,Food & Beverages,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,50.4,Ridlr,2017
2017-04-25,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding Round,1.96,Sagacito,2017
2017-04-26,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,160.0,Niyo Solutions,2017
2017-04-26,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,88.0,Tax2Win,2017
2017-04-26,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding Round,12.0,Truckola,2017
